name,brand,price,stock,model,processor,ram,storage,description
"MSI Thin 15 A B7VF AMD Ryzen 7 7735HS - NVIDIA RTX 4060 8GB - 16GB DDR5 4800MHz -  512GB SSD - 15.6 FHD 144Hz IPS - Windows 11","MSI","47949","In Stock","Thin A15 B7V","AMD Ryzen 7","16GB RAM","512GB SSD","Brand : MSI      Model : Thin A15 B7V  Seller : sigma  Viewed :   537 items   MSI Thin 15 A B7VF Gaming Laptop:   Processor: AMD Ryzen 7 7735HS (8 cores / 16 threads)   Graphics: NVIDIA GeForce RTX 4060 (8GB GDDR6)   RAM: 16GB (2x8) DDR5 (4800MHz)    Storage: 512GB NVMe PCIe SSD   Display: 15.6" FHD 144Hz IPS (1920x1080)   Operating System: Windows 11 Home   Keyboard: Backlit (Blue)   Battery: 52.4Wh  3-cell   Weight: 1.86 kg   Warranty: 2 years"
"ASUS ZenScreen Touch MB16AMT is a 15.6-inch Full HD IPS portable monitor with 10-point touch  USB-C and Micro HDMI connectivity  a 7800mAh battery for up to 4 hours of use  and a foldable smart case","ASUS","18500","In Stock","ZenScreen Touch MB16AMT","N/A","N/A","N/A","Brand : ASUS      Model :  ZenScreen Touch MB16AMT  Seller : sigma  Viewed :   468 items   ASUS ZenScreen Touch MB16AMT:   Display: 15.6-inch Full HD IPS  1920x1080 resolution  60Hz refresh rate  178° viewing angle  10-point touch   Battery: 7800mAh  up to 4 hours of use   Connectivity: USB-C  Micro HDMI  compatible with laptops  smartphones  gaming consoles  and cameras   Audio: Built-in 1W x 2 speakers   Design: Ultra-slim (9mm)  0.9 kg  foldable smart case (portrait/landscape stand)   Additional Features: Flicker-free  Low Blue Light  HDCP support  SPLENDID technology   Accessories: Smart case  USB-C to A adapter  HDMI cable  power adapter  ZenScreen pen"
"Lenovo LEGION 5 16IRX9 83DG00EEUS Intel Core i7-13650HX - NVIDIA GeForce RTX 4060 8GB - 16GB DDR5 4800Mhz - 1TB SSD M.2 - 16 WQXGA IPS 100  sRGB 165Hz - Windows 11","Lenovo","64999","In Stock","83DG00EEUS","Intel Core i7","16GB RAM","1TB SSD","Brand : Lenovo      Model : 83DG00EEUS   Seller : sigma  Viewed :   2669 items   Lenovo LEGION 5 16IRX9 (Model: 83DG00EEUS) AI-Powered Gaming Laptop   CPU: Intel® Core™ i7-13650HX (14 Cores  up to 4.9GHz)   GPU: NVIDIA® GeForce RTX™ 4060 8GB (TGP 140W)   RAM: 16GB DDR5-4800 (Upgradable to 64GB)   Storage: 1TB PCIe® 4.0 SSD   Display: 16" WQXGA (2560x1600)  165Hz  100% sRGB  G-SYNC®   Battery: 80Wh   Build: Aluminium top  4-Zone RGB Keyboard   Weight: 2.36 kg   Connectivity: Wi-Fi 6E  Bluetooth 5.2  USB-C with DisplayPort & PD  HDMI 2.1   OS: Windows® 11 Home   Extras: AI LA1 Chip  FHD Webcam with E-shutter  Nahimic Audio"
"Gigabyte G6 KF Intel Core i7-13620H - NVIDIA GeForce RTX 4060 8GB - 16GB 4800Mhz DDR5 - 1T SSD - 16.0 FHD  IPS 165Hz - Windows 11 Home","Gigabyte","47999","In Stock","G6 KF","Intel Core i7","16GB RAM","N/A SSD","Brand : Gigabyte      Model : G6 KF  Seller : sigma  Viewed :   2289 items   Gigabyte G6 KF:   Operating System: Windows 11 Home   Processor: Intel® Core™ i7-13620H (13th Gen) 4.9 GHz (6 cores/12 threads)   Graphics: NVIDIA® GeForce RTX™ 4060 Laptop GPU  8GB GDDR6   75W   Display: 16.0" FHD+ IPS (1920x1200)  165Hz   Memory: 16GB 2x8 4800Mhz DDR5 slots  up to 64GB   Storage: 1T Gen4 SSD  M.2 x2   Keyboard: Full-size illuminated with numeric pad (15 colors)   Ports:   1x USB 2.0  1x USB 3.2 Gen 1  2x USB 3.2 Gen 2 (Type C)   1x Mini DP 1.4  1x HDMI™   1x Audio Jack  1x Microphone Jack  1x RJ-45 LAN port  1x MicroSD Reader     Audio: 2x 2W speakers  DTS:X® Ultra Audio   Networking: Wi-Fi 6E  Bluetooth® 5.2  1GB LAN   Camera: 1.0M HD   Battery: 54Wh   Power: 150W   Weight: 2.3kg (5.07lb)   Dimensions: 35.95 x 26.38 x 2.512.6 cm (14.15 x 10.39 x 0.991.02 inch)"
